公司全称,工作经验,公司简称,学历,薪资
北京新工场投资顾问有限公司,她理财,15k-30k,1-3年,本科
杭州云脑科技有限公司,云脑科技,10k-20k,1-3年,本科
北京酷我科技有限公司,酷我音乐,15k-25k,1-3年,本科
北京优虎商务服务有限公司,老虎证券,20k-40k,1-3年,本科
北京新工场投资顾问有限公司,她理财,15k-30k,1-3年,本科
北京慕华信息科技有限公司,学堂在线,15k-25k,3-5年,本科
北京博派通达科技有限公司,博派通达,15k-30k,3-5年,不限
北京闪银奇异科技有限公司,闪银奇异,20k-40k,3-5年,本科
北京旷视科技有限公司,Face++,20k-40k,1-3年,本科
北京曜辉信息科技有限公司,曜辉科技,20K-35K,1-3年,本科
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15k-30k,不限,本科
链家网（北京）科技有限公司,贝壳,20k-40k,3-5年,本科
国美金控投资有限公司,国美金控,30k-40k,5-10年,本科
北京汉迪移动互联网科技股份有限公司,iHandy,15k-30k,1-3年,本科
北京复华卓越商业管理有限公司,复华控股,15k-30k,5-10年,大专
北京旷视科技有限公司,Face++,25k-50k,3-5年,本科
北京慕华信息科技有限公司,学堂在线,20k-35k,3-5年,本科
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,20k-40k,3-5年,本科
上海淇毓信息科技有限公司,奇虎360金融,20k-30k,3-5年,本科
杉数科技（北京）有限公司,杉数科技,18k-22k,3-5年,本科
北京磁力信科技有限公司,磁力信,12k-24k,3-5年,本科
苏州锦佰安信息技术有限公司,苏州锦佰安,15k-30k,3-5年,本科
北京快松果科技有限公司,松果电单车,30k-40k,5-10年,本科
北京曜辉信息科技有限公司,曜辉科技,15K-30K,1-3年,本科
上海海知智能科技有限公司,海知智能,20k-40k,3-5年,本科
北京诸葛云游科技有限公司,诸葛io,15k-20k,3-5年,本科
乐飞天下信息技术(北京)有限公司,乐飞天下,15k-30k,5-10年,大专
小叶子（北京）科技有限公司,The ONE,20k-30k,3-5年,本科
上海游族信息技术有限公司,游族网络,12k-18k,3-5年,不限
北京步鼎方舟科技有限公司,微车,20k-30k,3-5年,本科
北京旷视科技有限公司,Face++,20k-40k,3-5年,本科
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,20k-30k,1-3年,本科
北京步鼎方舟科技有限公司,微车,10k-18k,3-5年,本科
深圳市麦达数字股份有限公司,麦达数字,25k-35k,3-5年,本科
北京汉迪移动互联网科技股份有限公司,iHandy,25k-50k,3-5年,本科
京东金融,京东金融,25k-50k,5-10年,本科
柔持（北京）科技有限公司,柔持英语,20k-40k,3-5年,本科
慧泽商通（北京）科技有限公司,慧泽商通,10k-20k,3-5年,本科
北京一览科技有限公司,一览科技,20k-40k,3-5年,本科
普信恒业科技发展（北京）有限公司,宜信,15k-25k,3-5年,本科
北京慕华信息科技有限公司,学堂在线,20k-35k,3-5年,本科
北京字节跳动科技有限公司,字节跳动,20k-35k,1-3年,本科
北京国双科技有限公司,Gridsum 国双,20k-30k,5-10年,本科
北京齿轮易创科技有限公司,齿轮易创,13k-25k,1-3年,本科
医渡云（北京）技术有限公司,医渡云（北京）技术有限公司,18K-35K,3-5年,大专
